Name,Gender,Period,Political Party,Position,Early Life,Education,Political Career,Family 
John Kotelawala,Male,12 October 1953 - 12 April 1956,United National Party,Minister of Foreign Affairs,"b'Kotelawala was born on 4 April 1897 to John Kotelawala Snr, a police inspector, who later turned businessman and Alice Elisabeth Kotalawala (nee Attygalle), daughter of Mudaliyar Don Charles Gemoris Attygalle, a wealthy land and mine owner. He had a younger brother Justin Kotalawela and a sister Freda, who later married C. V. S. Corea.'",b'',"b""As early as 1915 Kotelawala had become involved with political leaders such as Don Stephen Senanayake and his brother F.R. Senanayake, who was married to Kotelawala's mother's sister. They criticized many of the actions of the British colonial officials following the riots in 1915.""","b'He married Effie Manthri Dias Bandaranaike daughter of F. H. Dias Bandaranaike and Maria Frances Dias Bandaranaike nee Senanayake. Effie Bandaranaike was the niece of Don Stephen Senanayake. Although the marriage was not successful, ending in divorce, it produced a daughter Lakshmi Kotelawala who married Henry Gerald Kotalawala.'"
S. W. R. D. Bandaranaike,Male,12 April 1956 - 26 September 1959,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b'Bandaranaike was born in Colombo, Ceylon, to the wealthy Sinhalese Anglican Christian Bandaranaike family, which had become one of the more elite native families under the British administration. His father was Sir Solomon Dias Bandaranaike, the Maha Mudaliyar of Ceylon at the time[note 1], while his mother, Daisy Ezline Obeyesekere, was a daughter of Sir Solomon Christoffel Obeyesekere, a member of the Legislative Council of Ceylon. Sir Solomon named his only son after Sir Joseph West Ridgeway, the Governor of Ceylon at the time, who was his godfather[clarification needed]. He had two sisters, Alexandra Camelia, and Anna Florentina. Sir Forester Obeysekera was his maternal uncle.'","b""He was tutored at his home, Horagolla Walauwa, by Mr. Henry Young, an English tutor from Nuwaraeliya, and for a short time attended S. Thomas' College, Mutwal, where he boarded with the warden, Rev. Arthur William Stone. He passed his Senior Cambridge examinations with distinctions in English, Latin, Greek and French, and gained the second Order of Merit in the British Empire that year. He entered Christ Church, Oxford, where he read philosophy, politics and economics, and graduated with honours in 1923. At Oxford, he was Secretary of the Oxford Union and President of the Majlis Society; his contemporaries at Oxford included Anthony Eden. In 1924, he became a barrister and was called to the bar at the Inner Temple; on his return to Ceylon, he took oaths as an Advocate of the Supreme Court of Ceylon.""","b'After his return from Britain, Bandaranaike became active in local politics. He got elected as the Chairman of the Nittambuwa Village Committee in his family seat. He became Secretary of the Ceylon National Congress (CNC) in 1926, and in December the same year was elected from the Maradana Ward to the Colombo Municipal Council, defeating the trade unionist A. E. Goonesinha.'","b'In 1940, he married Sirima Ratwatte, daughter of Barnes Ratwatte Rate Mahatmaya, later Dissawa of Sabaragamuwa. Ratwatte was an old Radala family hailing from the Kingdom of Kandy and the Bandaranaike\'s were an old and wealthy family from the low-country which had been in service of the colonial rulers for centuries. The wedding was dubbed ""the wedding of the century"" and linked Bandaranaike with the Kandyan elite through marriage.'"
Wijeyananda Dahanayake,Male,26 September 1959 - 20 March 1960,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b'He was born as a twin in Dangedera, Richmond Hill, Galle and was named Don Wijeyananda Dahanayake after the Wijayananda Pirivena. His father was Don Dionesius Panditha Sepala Dahanayake, was a Muhandiram, who later served as the Kackckeri Mudliyar of Galle and was a scholar in oriental languages. His twin brother was Kalyanapriya Dahanayake.'","b""Dahanayake received his education first at Rippon Girls' School, Galle and then at the Government English Training School on Thurstan Road, Colombo; before moving to Richmond College, Galle and S. Thomas' College, Mount Lavinia for his secondary education.""","b'Dahanayake became active in pre-independence politics while serving as a teacher and switched to full-time politics. As a member of the Trotskyite Lanka Sama Samaja Party, he was elected to the Galle Municipal Council from the Kumbalwella Ward, which he held until 1944. He was elected the first Mayor of Galle in 1939 and served till 1941. When World War II started in the far-east, the Lanka Sama Samaja Party refused to support the British war effort. Dahanayake was prosecuted by the police for organizing a strike during the height of war, which angered the British colonial administration. He represented himself in court without a lawyer and won against the crown prosecution.'","b""Dahanayake was a simple man. When appointed Prime Minister, he moved into Temple Trees carrying his own things in two old suitcases from his room in the Srawasthi Mandiraya. He found the prime minister's bed room too large and had it partitioned. When he resigned from the post of prime minister following his electoral defeat, he packed his personal belongings to the same suitcase left Temple Trees to Galle. He remained a bachelor throughout his life until he married the widow of his twin brother after his death in order to grant her a widow's pension which he was entitled to as a retired member of parliament."""
Dudley Senanayake,Male,21 March 1960 - 21 July 1960,United National Party,Minister of Foreign Affairs,"b'Dudley Senanayake was born on 19 June 1911 to the wealthy Senanayake family which was at the time becoming active in local colonial-era politics. His paternal grandfather Mudaliyar Don Spater Senanayake established the family wealth through graphite mining, which he later expanded into plantations and investments in the arrack renting franchise. His parents were Don Stephen Senanayake and Molly Dunuwila. He was the eldest in the family with a younger brother Robert.'","b""Dudley received his secondary education at the prestigious S. Thomas' College, where he excelled in his studies and sports. He became the Head Prefect, captained the college team at cricket at the Royal-Thomian and gained colours in hockey, boxing, and athletics. He won the Victoria Gold Medal for the most outstanding student at S. Thomas'. Senanayake then went on to Corpus Christi College, Cambridge to read for Natural Science Tripos and after graduation gained admission to the Middle Temple as a Barrister.""","b""After returning to Ceylon in 1935, Dudley took oaths as an Advocate of the Supreme Court of Ceylon and briefly embanked on a legal practice under H. V. Perera, KC before entering politics on his father's urging. He was elected from the Dedigama electorate in 1936 to the State Council, while his father was Minister of Agriculture and served as a back-bencher for ten years. As State Councillor of Dedigama, he undertook much development work in his electorate developing roads, hospitals, schools and police stations. \nDuring this time he became active in the Ceylon National Congress (CNC) having been appointed in December 1939 as its joint secretary with J. R. Jayewardene another young lawyer who had been elected to the Colombo Municipal Council. The CNC was urging for the independence of Ceylon to the extent his father, D. S. Senanayake resigned from the congress because he disagreed with its revised aim of achieving complete independence from the British Empire, preferring Dominion status and its inclusion of Marxists. Following his father's resignation, Dudley succeeded his father as Minister of Agriculture and Lands in the second board of ministers of the state council in 1946.""",b''
Sirimavo Bandaranaike,Female,21 July 1960 - 25 March 1965,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b'Bandaranaike was born Sirima Ratwatte on 17 April 1916 at the Ellawala Walawwa in Ratnapura, in British Ceylon. Her mother was Rosalind Hilda Mahawalatenne Kumarihamy, a reputed Ayurvedic physician, and her father was Barnes Ratwatte, a politician. Her maternal grandfather Mahawalatenne, and later her father, served as Rate Mahatmaya, a native headman, of Balangoda. Her father was a member of the Radala, hereditary nobility from the Kingdom of Kandy. Her paternal ancestry included her uncle Sir Jayatilaka Cudah Ratwatte, the first person from Kandy to receive a British knighthood, as well as courtiers serving Sinhalese monarchs. One of these, Ratwatte, Dissawa of Matale, was a signatory of the 1815 Kandyan Convention.'",b'',"b'In May 1960, Bandaranaike was unanimously elected party president by the executive committee of the Freedom Party, although at the time she was still undecided about running in the July election. Disavowing former party ties with Communists and Trotskyists, by early June she was campaigning with promises to carry forward the policies of her husband  in particular, establishing a republic, enacting a law to establish Sinhala as the official language of the country, and recognising the predominance of Buddhism, though tolerating the estate Tamils use of their own language and Hindu faith. Though there had been Tamil populations in the country for centuries, the majority of the estate Tamils had been brought to Ceylon from India by the British authorities as plantation workers. Many Ceylonese viewed them as temporary immigrants, even though they had lived for generations in Ceylon. With Ceylon\'s independence, the Citizenship Act of 1948 excluded these Indian Tamils from citizenship, making them stateless. S.W.R.D.\'s policy toward the stateless Tamils had been moderate, granting some citizenship and allowing productive workers to remain. His successor, Dudley Senanayake, was the first to recommend compulsory repatriation for the population. Bandaranaike toured the country and made emotional speeches, frequently bursting into tears as she pledged herself to continue her late husband\'s policies. Her actions earned her the title ""The Weeping Widow"" from her opponents.'",b''
Dudley Senanayake,Male,25 March 1965 - 29 May 1970,United National Party,Minister of Foreign Affairs,"b'Dudley Senanayake was born on 19 June 1911 to the wealthy Senanayake family which was at the time becoming active in local colonial-era politics. His paternal grandfather Mudaliyar Don Spater Senanayake established the family wealth through graphite mining, which he later expanded into plantations and investments in the arrack renting franchise. His parents were Don Stephen Senanayake and Molly Dunuwila. He was the eldest in the family with a younger brother Robert.'","b""Dudley received his secondary education at the prestigious S. Thomas' College, where he excelled in his studies and sports. He became the Head Prefect, captained the college team at cricket at the Royal-Thomian and gained colours in hockey, boxing, and athletics. He won the Victoria Gold Medal for the most outstanding student at S. Thomas'. Senanayake then went on to Corpus Christi College, Cambridge to read for Natural Science Tripos and after graduation gained admission to the Middle Temple as a Barrister.""","b""After returning to Ceylon in 1935, Dudley took oaths as an Advocate of the Supreme Court of Ceylon and briefly embanked on a legal practice under H. V. Perera, KC before entering politics on his father's urging. He was elected from the Dedigama electorate in 1936 to the State Council, while his father was Minister of Agriculture and served as a back-bencher for ten years. As State Councillor of Dedigama, he undertook much development work in his electorate developing roads, hospitals, schools and police stations. \nDuring this time he became active in the Ceylon National Congress (CNC) having been appointed in December 1939 as its joint secretary with J. R. Jayewardene another young lawyer who had been elected to the Colombo Municipal Council. The CNC was urging for the independence of Ceylon to the extent his father, D. S. Senanayake resigned from the congress because he disagreed with its revised aim of achieving complete independence from the British Empire, preferring Dominion status and its inclusion of Marxists. Following his father's resignation, Dudley succeeded his father as Minister of Agriculture and Lands in the second board of ministers of the state council in 1946.""",b''
Sirimavo Bandaranaike,Female,29 May 1970 - 23 July 1977,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b'Bandaranaike was born Sirima Ratwatte on 17 April 1916 at the Ellawala Walawwa in Ratnapura, in British Ceylon. Her mother was Rosalind Hilda Mahawalatenne Kumarihamy, a reputed Ayurvedic physician, and her father was Barnes Ratwatte, a politician. Her maternal grandfather Mahawalatenne, and later her father, served as Rate Mahatmaya, a native headman, of Balangoda. Her father was a member of the Radala, hereditary nobility from the Kingdom of Kandy. Her paternal ancestry included her uncle Sir Jayatilaka Cudah Ratwatte, the first person from Kandy to receive a British knighthood, as well as courtiers serving Sinhalese monarchs. One of these, Ratwatte, Dissawa of Matale, was a signatory of the 1815 Kandyan Convention.'",b'',"b'In May 1960, Bandaranaike was unanimously elected party president by the executive committee of the Freedom Party, although at the time she was still undecided about running in the July election. Disavowing former party ties with Communists and Trotskyists, by early June she was campaigning with promises to carry forward the policies of her husband  in particular, establishing a republic, enacting a law to establish Sinhala as the official language of the country, and recognising the predominance of Buddhism, though tolerating the estate Tamils use of their own language and Hindu faith. Though there had been Tamil populations in the country for centuries, the majority of the estate Tamils had been brought to Ceylon from India by the British authorities as plantation workers. Many Ceylonese viewed them as temporary immigrants, even though they had lived for generations in Ceylon. With Ceylon\'s independence, the Citizenship Act of 1948 excluded these Indian Tamils from citizenship, making them stateless. S.W.R.D.\'s policy toward the stateless Tamils had been moderate, granting some citizenship and allowing productive workers to remain. His successor, Dudley Senanayake, was the first to recommend compulsory repatriation for the population. Bandaranaike toured the country and made emotional speeches, frequently bursting into tears as she pledged herself to continue her late husband\'s policies. Her actions earned her the title ""The Weeping Widow"" from her opponents.'",b''
J. R. Jayewardene,Male,23 July 1977 - 4 February 1978,United National Party,Minister of Foreign Affairs,"b'Born to a prominent Ceylonese family with a strong association with the legal profession, Jayewardene was the eldest of twelve children, of Hon. Justice Eugene Wilfred Jayewardene KC, a prominent lawyer and Agnes Helen Don Philip Wijewardena daughter of Tudugalage Muhandiram Don Philip Wijewardena a wealthy merchant. He was known as Dickie within his family. His younger brothers included Hector Wilfred Jayewardene, QC and Rolly Jayewardene, FRCP. His uncles were the Colonel Theodore Jayewardene, Justice Valentine Jayewardene and the Press Baron D. R. Wijewardena.'","b'Jayewardene gained admission to Royal College, Colombo for his secondary education. There he excelled in sports, played for the college cricket team, debuting in the Royal-Thomian series in 1925; captained the rugby team in 1924 at the annual ""Royal-Trinity Encounter"" (which later became known as the Bradby Shield Encounter); he was the vice captain of the football team in 1924; and was a member of the boxing team winning sports colours. He was a Senior Cadet; Captain, Debating Team; Editor, College Magazine; first Secretary in Royal College Social Services League in 1921 and he became the head prefect in 1925. In later life, he served as President, Board of Control for Cricket in Sri Lanka; President, Sinhalese Sports Club; and Secretary, Royal College Union.'",b'Jayewardene was attracted to national politics in his student years and developed strong nationalist views. He converted from Anglicanism to Buddhism and adopted the national dress as his formal attire.',"b'On 28 February 1935, Jayewardene married the heiress Miss Elina Bandara Rupasinghe, only daughter of Nancy Margaret Suriyabandara and Gilbert Leonard Rupasinghe, a notary public turned successful businessmen. Their only child Ravindra ""Ravi"" Vimal Jayewardene was born the year after.  Having originally settled at Jayewardene\'s parents house Vaijantha, the Jayewardene\'s moved to their own house Braemar in 1938, where they remained the rest of their lives, when not holidaying at their holiday home in Mirissa.'"
Abdul Cader Shahul Hameed,Male,4 February 1978 - 1989,United National Party,Minister of Foreign Affairs,b'',b'',b'',b''
Ranjan Wijeratne,Male,1989 - 1991,United National Party,Minister of Foreign Affairs,"b""Ranjan Wijeratne was born on 4 April 1931, the son of Walpola Mudalige George Hercules Wijeratne and Rosalind Maria nee Senanayake a first cousin of D. S. Senanayake. He was educated at S. Thomas' College, Gurutalawa and S. Thomas' College, Mount Lavinia.""",b'',"b'Wijeratne resigned from all government posts and his commission when he went into active politics in 1988 when he was appointed Chairman of the United National Party. He later went on to become the General Secretary of the Party. Wijeratne led the party in 1988 Presidential elections followed by the 1989 General Elections. Wijeratne was appointed a National List member of parliament in 1989 and was appointed as Minister of Foreign Affairs and State Minister of Defence by President Ranasinghe Premadasa. Wijeratne invariably made many enemies due to his tough position. He was equally hawkish in dealing with Liberation Tigers of Tamil Eelam (LTTE) and Janatha Vimukthi Peramuna (JVP) militants. Having established Operation Combine, he masterminded the JVP near rout in 1989 and the LTTE was to follow.'",b''
Harold Herath,Male,1991 - 1993,United National Party,Minister of Foreign Affairs,b'',b'',b'',b''
Abdul Cader Shahul Hameed,Male,1993 - 1994,United National Party,Minister of Foreign Affairs,b'',b'',b'',b''
Lakshman Kadirgamar,Male,1994 - 2001,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b'Lakshman Kadirgamar was born in Manipay, Jaffna District. He hailed from a Tamil family; his father was Samuel J.C.Kadirgamar Sr, JP, UM, a Proctor, who was the President of the Colombo Proctor\'s Association and the founder President of the Law Society of Ceylon. His mother was Edith Rosemand Parimalam Mather. He had four older brothers: S.J.C.Kadirgamar Jr., QC, who became an eminent lawyer in commercial law; Rear Admiral Rajan Kadiragamar who became the head of the Royal Ceylon Navy and Major Selvanathan ""Bai"" Kadirgamar of the Ceylon Artillery, Thirumalan ""Mana"" Kadirgamar, a planter who died very young in a motor bike accident. His mother died when he was seven years old and he was looked after by his older sister Eeswari who married Dr. A.M.D. Richards.'","b""Kadirgamar received his primary education at C.M.S. Ladies' College, Colombo and moved with his sister to Matale in the war years, where her husband was posted to. He decided to attend Trinity College, Kandy as a boarder for his secondary education even though all his brothers had attended Royal College, Colombo. It was a common practice to board children in places away from Colombo as Colombo was under the threat of bombing by Japanese. At Trinity, he captained the college first eleven cricket team in 1950 while also competing in the college athletics and rugby teams. He played in the annual Bradby Shield Encounter. He was the winner of the Senior Batting Prize in 1948, a Rugger Coloursman in 1948 and 1949, Trinity Athletics Lion in 1949, and winner of the first Duncan White Challenge Cup for Athletics in 1948. In recognition of his all-round performance in academic and extra curricular spheres, he was awarded the prestigious Ryde Gold medal for the best all round student of 1950. He was also the Senior Prefect of Trinity College.""","b""Although he had never been actively involved in politics before, and had never even addressed a political rally, he was selected as national list MP in 1994 on the People's Alliance (PA) list for the General Elections. Following the victory of the PA, he was appointed Foreign Minister in the PA government of President Chandrika Kumaratunga. He held the post till 2001, playing a significant role in having the LTTE banned internationally. The United States and the United Kingdom proscribed the LTTE on 8 October 1997 and 28 February 2001 respectively, thereby depriving that organisation of a primary source of funding.""","b'While at Oxford, Kadirgamar married Angela Malik of French-Pakistani descent, they had two children. The daughter, Ajitha Perera who became a broadcaster and a son, Sriraghavan Jebaratnam Christian ""Ragee"" Kadirgamar who became an architect. In 1992, he divorced his first wife Angela. He married again in 1996, Suganthi Wijeysuriya, a lawyer and senior partner at the law firm F. J. & G. de Saram.'"
Tyronne Fernando,Male,2001 - 2004,United National Party,Minister of Foreign Affairs,"b""Fernando was born on 8 August 1941. Fernando was a relation of Puran Appu. He attended Royal College, Colombo, and S. Thomas' College, Mount Lavinia, and earned his MA in political science at Keble College, Oxford. At Oxford he was the first Asian to be the chairman of the Labour Club. He also gained a diploma in journalism from the London School of Journalism. He entered Gray's Inn, London and was called to the Bar of England and Wales, as a Barrister.""",b'',"b'In 1974, Fernando entered politics after he joined the United National Party. He was elected to Parliament in 1977 as a representative of the Moratuwa constituency, a stronghold of the Lanka Sama Samaja Party, he won with a record majority of 15,000. Fernando served as the Deputy Minister of Foreign Affairs during the presidency of J.R. Jayewardene. He also served as Minister of Information in 1993 during the presidency of Ranasinghe Premadasa. He also served as the head of Sri Lanka Cricket Board from 1991 until 1994.'",b''
Lakshman Kadirgamar,Male,2004 - 2005,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b'Lakshman Kadirgamar was born in Manipay, Jaffna District. He hailed from a Tamil family; his father was Samuel J.C.Kadirgamar Sr, JP, UM, a Proctor, who was the President of the Colombo Proctor\'s Association and the founder President of the Law Society of Ceylon. His mother was Edith Rosemand Parimalam Mather. He had four older brothers: S.J.C.Kadirgamar Jr., QC, who became an eminent lawyer in commercial law; Rear Admiral Rajan Kadiragamar who became the head of the Royal Ceylon Navy and Major Selvanathan ""Bai"" Kadirgamar of the Ceylon Artillery, Thirumalan ""Mana"" Kadirgamar, a planter who died very young in a motor bike accident. His mother died when he was seven years old and he was looked after by his older sister Eeswari who married Dr. A.M.D. Richards.'","b""Kadirgamar received his primary education at C.M.S. Ladies' College, Colombo and moved with his sister to Matale in the war years, where her husband was posted to. He decided to attend Trinity College, Kandy as a boarder for his secondary education even though all his brothers had attended Royal College, Colombo. It was a common practice to board children in places away from Colombo as Colombo was under the threat of bombing by Japanese. At Trinity, he captained the college first eleven cricket team in 1950 while also competing in the college athletics and rugby teams. He played in the annual Bradby Shield Encounter. He was the winner of the Senior Batting Prize in 1948, a Rugger Coloursman in 1948 and 1949, Trinity Athletics Lion in 1949, and winner of the first Duncan White Challenge Cup for Athletics in 1948. In recognition of his all-round performance in academic and extra curricular spheres, he was awarded the prestigious Ryde Gold medal for the best all round student of 1950. He was also the Senior Prefect of Trinity College.""","b""Although he had never been actively involved in politics before, and had never even addressed a political rally, he was selected as national list MP in 1994 on the People's Alliance (PA) list for the General Elections. Following the victory of the PA, he was appointed Foreign Minister in the PA government of President Chandrika Kumaratunga. He held the post till 2001, playing a significant role in having the LTTE banned internationally. The United States and the United Kingdom proscribed the LTTE on 8 October 1997 and 28 February 2001 respectively, thereby depriving that organisation of a primary source of funding.""","b'While at Oxford, Kadirgamar married Angela Malik of French-Pakistani descent, they had two children. The daughter, Ajitha Perera who became a broadcaster and a son, Sriraghavan Jebaratnam Christian ""Ragee"" Kadirgamar who became an architect. In 1992, he divorced his first wife Angela. He married again in 1996, Suganthi Wijeysuriya, a lawyer and senior partner at the law firm F. J. & G. de Saram.'"
Anura Bandaranaike,Male,August 2005 - 23 November 2005,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b""Born on February 15, 1949 at Tintagel, Rosmead Place, Colombo to Solomon West Ridgeway Dias Bandaranaike and Sirima Ratwatte Dias Bandaranaike. He was the youngest of three siblings and only son. His family has a long history in the socio-political arena of the country. His grandfather, Sir Solomon Dias Bandaranike was the Maha Mudaliyar (the chief native interpreter and advisor to the Governor) and his maternal grandfather Barnes Ratwatte Rate Mahatmaya, Dissawa of Sabaragamuwa during British colonial rule. Bandaranaike's father Solomon West Ridgeway Dias Bandaranaike was at the time of his birth the Cabinet Minister of Health and Local Government and would become the fourth Prime Minister of Ceylon in 1956. He was assassinated on 26 September 1959, when young Anura was ten years old. His mother, took over the leadership of the Sri Lanka Freedom Party which was formed by her husband and became the first female Prime Minister in the world when she was appointed as Prime Minister of Ceylon in July 1960. He and his two elder sisters soon found themselves active in the party politics. His eldest sister Sunethra Bandaranaike, became a socialite and his other sister Chandrika Bandaranaike Kumaratunga, later became the President of Sri Lanka.""","b'Bandaranaike completed his primary education at Royal Preparatory School and secondary education at the Royal College, Colombo where his contemporaries included Ranil Wickremesinghe and Dinesh Gunawardena. He then read Ancient and Modern History at the University of London, graduating with a BA Honours in 1973.'","b'Bandaranaike returned to Sri Lanka in 1974, when his mother was serving her second term as Prime Minister. He soon became active in the Sri Lanka Freedom Party, having been appointed leader of its Youth Wing and thereafter Director of the National Youth Services Council. He contested the 1977 general election from the Maskeliya multi-seat constituency from the Sri Lanka Freedom Party. Though the Sri Lanka Freedom Party faced a crushing defeat in the election, Bandaranaike was elected to parliament. He would remain a member of parliament till his death. Following the defeat of Sri Lanka Freedom Party government in July 1977, Bandaranaike sat in the opposition in parliament with his mother. The Sri Lanka Freedom Party became a minority in the opposition and A. Amirthalingam of the Tamil United Liberation Front became the leader of the opposition.'",b''
Mangala Samaraweera,Male,23 November 2005 – 28 January 2007,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b""Mangala Samaraweera was born on 21 April 1956 in Matara, Sri Lanka, the son of Mahanama Samaraweera and Khema Padmawathi Samaraweera nee Amaraweera, his father was a cabinet Minister of Local Government, Housing, Communications, Posts and Telecommunications in Sirimavo Bandaranaike's government and his mother served as a member of the Matara Urban Council. Educated at Royal College, Colombo and at Waltham Forest College, London, he gained a BA in Clothing Design and Technology from St. Martin's School of Art in London, he served as a design consultant to the National Design Center of Sri Lanka and served as a visiting lecturer in the Institute of Aesthetic Studies, University of Kelaniya. It was veteran textile designer Chandra Thneuwera who invited him to join her at the Institute of Aesthetic Studies while he was working as a consultant for the Ministry of Textile Industries under the guidance of Wijayapala Mendis.""",b'',"b""Samaraweera entered politics from the Sri Lanka Freedom Party as its chief organiser in Matara in 1983. He was introduced as Khema's boy when he was appointed as SLFP's chief organiser. He later became the SLFP party's Assistant Secretary and Coordinating Secretary of the Mothers Front. He also served as human rights campaigner in 1980s during when Ranasinghe Premadasa was the President of Sri Lanka.""","b'He was openly homosexual. In November 2018, after homophobic comments made by President Maithripala Sirisena, he wrote on Twitter that I would rather be a butterfly than a leech Mr. President!!! In May 2021, he featured in a YouTube video titled Light Upali where he played the role of a warrior defending social media platform TikTok.'"
Rohitha Bogollagama,Male,28 January 2007 - 8 April 2010,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b'Born in Nikaweratiya, North Western Province, to Chandrasekera Malala Banda Bogollagama (former Chairman, National Lotterys Board from 1966 to 1970) and Vinitha Bogollagama (nee Senerath), he is one of their five children. Bogollagama attended Ananda College in Colombo and later the Sri Lanka Law College, passing out in 1976. He was called to the Bar and enrolled as Attorney-at-Law by the Supreme Court of Sri Lanka in October 1976.'",b'',"b'As a member of the United National Party, Bogollagama was elected to parliament in 2000 for Kurunegala District, and served the Parliamentary Consultative Committees on Finance, Foreign Affairs, Defence, Industrial Development & Investment Promotion, and Power & Energy. On 12 December 2001, Prime Minister Ranil Wickremesinghe appointed him Minister of Industries. As minister he initiated the ""Yuga Dekma"", a large industrial fair, in 2002. In 2004 president Chandrika Kumaratunga dissolved parliament and removed non-cabinet ministers on 12 February.'","b'He is married to Deepthi Samarakone, She is the youngest daughter of Donald Samarakone (formerly of Ceylon Civil Service) & Srima Samarakone (daughter of Mudliyar A. V. Rathnayake and Mrs Jennifer Rathnayake of ""Ratnagiri Walawwa"", Boralesgamuwa) has three sisters Kusum, Sucharitha and Jayathri.  Rohitha & Deepthi Bogollagama have son & daughter. Dhakshitha (Ex Chairman of the National Enterprise Development Authority) a BBM graduate in Finance from the Singapore Management University, Singapore and Dr. Dilshani Bogollagama (All India Institute of Medical Sciences).'"
G. L. Peiris,Male,23 April 2010 – 12 January 2015,Sri Lanka Freedom Party,Minister of Foreign Affairs,"b""Peiris was born to Glanville Peiris, a diplomat who was the former Director-General of External Affairs and Ceylon's Ambassador to West Germany and Myanmar, and Lakshmi Chandrika Peiris. His uncle was Bernard Peiris, the former Cabinet Secretary. Educated at  Sri Sumangala College Panadura and S. Thomas' College, Mt Lavinia, he entered the law faculty of the University of Ceylon, Colombo and won the Mudliyar Edmond Peiris award. He won a Rhodes Scholarship to read for a PhD at New College, Oxford, and graduated in 1971. He also gained a second PhD from the University of Colombo in 1974.""",b'',"b'Peiris was a close confidant of the former President Chandrika Bandaranaike Kumaratunga, who appointed him as a national list member of the parliament following the 1994 election. Thereafter, Mrs Kumaratunga, then Prime Minister, appointed him as Minister of Justice and Constitutional Affairs and Deputy Minister of Finance. He was also given the portfolio of External Trade at the start. In a subsequent Cabinet reshuffle, he was given two additional portfoliosEthnic Affairs and National Integrationwhich were hitherto held by the President. During his tenure as Justice Minister, he brought in over 30 pieces of new legislation which were considered innovative and in accordance with the needs of modern times.'",b''
Mangala Samaraweera,Male,12 January 2015 – 22 May 2017,United National Party,Minister of Foreign Affairs,"b""Mangala Samaraweera was born on 21 April 1956 in Matara, Sri Lanka, the son of Mahanama Samaraweera and Khema Padmawathi Samaraweera nee Amaraweera, his father was a cabinet Minister of Local Government, Housing, Communications, Posts and Telecommunications in Sirimavo Bandaranaike's government and his mother served as a member of the Matara Urban Council. Educated at Royal College, Colombo and at Waltham Forest College, London, he gained a BA in Clothing Design and Technology from St. Martin's School of Art in London, he served as a design consultant to the National Design Center of Sri Lanka and served as a visiting lecturer in the Institute of Aesthetic Studies, University of Kelaniya. It was veteran textile designer Chandra Thneuwera who invited him to join her at the Institute of Aesthetic Studies while he was working as a consultant for the Ministry of Textile Industries under the guidance of Wijayapala Mendis.""",b'',"b""Samaraweera entered politics from the Sri Lanka Freedom Party as its chief organiser in Matara in 1983. He was introduced as Khema's boy when he was appointed as SLFP's chief organiser. He later became the SLFP party's Assistant Secretary and Coordinating Secretary of the Mothers Front. He also served as human rights campaigner in 1980s during when Ranasinghe Premadasa was the President of Sri Lanka.""","b'He was openly homosexual. In November 2018, after homophobic comments made by President Maithripala Sirisena, he wrote on Twitter that I would rather be a butterfly than a leech Mr. President!!! In May 2021, he featured in a YouTube video titled Light Upali where he played the role of a warrior defending social media platform TikTok.'"
Ravi Karunanayake,Male,22 May 2017 - 10 August 2017,United National Party,Minister of Foreign Affairs,"b'Ravindra Sandresh Karunanayake was born on 19 February 1963, the son of Tissa Anuruddha Mahanama Karunanayake and Carmaleka ""Carmi"" nee Dissanayake, daughter of former Deputy Inspector General of Police Cyril Dissanayake. He is the eldest of two sons. His father was a planter, who died when he was 12 years old. Following the death of her husband, Carmi Karunanayake, gained employment at the Presidential Secretariat, served as head of housekeeping of the President\'s House, Colombo.'",b'',"b""Between 1988 and 1989, Karunanayake worked with Lalith Athulathmudali, a distant relative; in Athulathmudali's election campaign for his parliamentary seat in the Colombo District for the 1989 general elections. Athulathmudali left the United National Party and formed the Democratic United National Front, which was led by his wife Srimani Athulathmudali after his assassination in April 1993. Srimani along with the 'DUNF-Lalith Front' joined the People's Alliance under Chandrika Kumaratunga at the 1994 general elections.""","b'Karunanayake is married to Mela and has three daughters Onella, Shenella and Minella.[citation needed]'"
Wasantha Senanayake,Male,10 August 2017 - 15 August 2017,United National Party,Minister of Foreign Affairs,b'',b'',b'',b''
